,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
5,25,VfL Wolfsburg,Hamburger SV,1,2,14065178,https://www.sofascore.com/api/v1/event/14065178/shotmap
6,25,1. FC Köln,Borussia Dortmund,1,2,14065185,https://www.sofascore.com/api/v1/event/14065185/shotmap
7,25,FC St. Pauli,Eintracht Frankfurt,0,0,14065181,https://www.sofascore.com/api/v1/event/14065181/shotmap
8,25,1. FC Union Berlin,SV Werder Bremen,1,4,14065182,https://www.sofascore.com/api/v1/event/14065182/shotmap
0,26,Borussia M'gladbach,FC St. Pauli,2,0,14065187,https://www.sofascore.com/api/v1/event/14065187/shotmap
1,26,Bayer 04 Leverkusen,FC Bayern München,1,1,14065183,https://www.sofascore.com/api/v1/event/14065183/shotmap
2,26,Borussia Dortmund,FC Augsburg,2,0,14065184,https://www.sofascore.com/api/v1/event/14065184/shotmap
3,26,Eintracht Frankfurt,1. FC Heidenheim,1,0,14065190,https://www.sofascore.com/api/v1/event/14065190/shotmap
4,26,TSG Hoffenheim,VfL Wolfsburg,1,1,14065191,https://www.sofascore.com/api/v1/event/14065191/shotmap
5,26,Hamburger SV,1. FC Köln,1,1,14065192,https://www.sofascore.com/api/v1/event/14065192/shotmap
6,26,SV Werder Bremen,1. FSV Mainz 05,0,2,14065189,https://www.sofascore.com/api/v1/event/14065189/shotmap
7,26,SC Freiburg,1. FC Union Berlin,0,1,14065188,https://www.sofascore.com/api/v1/event/14065188/shotmap
8,26,VfB Stuttgart,RB Leipzig,1,0,14065195,https://www.sofascore.com/api/v1/event/14065195/shotmap
0,27,RB Leipzig,TSG Hoffenheim,5,0,14065198,https://www.sofascore.com/api/v1/event/14065198/shotmap
1,27,1. FC Heidenheim,Bayer 04 Leverkusen,3,3,14065200,https://www.sofascore.com/api/v1/event/14065200/shotmap
2,27,1. FC Köln,Borussia M'gladbach,3,3,14065202,https://www.sofascore.com/api/v1/event/14065202/shotmap
3,27,FC Bayern München,1. FC Union Berlin,4,0,14065193,https://www.sofascore.com/api/v1/event/14065193/shotmap
4,27,VfL Wolfsburg,SV Werder Bremen,0,1,14065199,https://www.sofascore.com/api/v1/event/14065199/shotmap
5,27,Borussia Dortmund,Hamburger SV,3,2,14065197,https://www.sofascore.com/api/v1/event/14065197/shotmap
6,27,1. FSV Mainz 05,Eintracht Frankfurt,2,1,14065194,https://www.sofascore.com/api/v1/event/14065194/shotmap
7,27,FC St. Pauli,SC Freiburg,1,2,14065201,https://www.sofascore.com/api/v1/event/14065201/shotmap
8,27,FC Augsburg,VfB Stuttgart,2,5,14065196,https://www.sofascore.com/api/v1/event/14065196/shotmap
0,28,Bayer 04 Leverkusen,VfL Wolfsburg,6,3,14065203,https://www.sofascore.com/api/v1/event/14065203/shotmap
1,28,Borussia M'gladbach,1. FC Heidenheim,2,2,14065208,https://www.sofascore.com/api/v1/event/14065208/shotmap
2,28,Hamburger SV,FC Augsburg,1,1,14065211,https://www.sofascore.com/api/v1/event/14065211/shotmap
3,28,SC Freiburg,FC Bayern München,2,3,14065206,https://www.sofascore.com/api/v1/event/14065206/shotmap
4,28,SV Werder Bremen,RB Leipzig,1,2,14065205,https://www.sofascore.com/api/v1/event/14065205/shotmap
5,28,TSG Hoffenheim,1. FSV Mainz 05,1,2,14065210,https://www.sofascore.com/api/v1/event/14065210/shotmap
6,28,VfB Stuttgart,Borussia Dortmund,0,2,14065207,https://www.sofascore.com/api/v1/event/14065207/shotmap
7,28,1. FC Union Berlin,FC St. Pauli,1,1,14065209,https://www.sofascore.com/api/v1/event/14065209/shotmap
8,28,Eintracht Frankfurt,1. FC Köln,2,2,14065204,https://www.sofascore.com/api/v1/event/14065204/shotmap
0,29,FC Augsburg,TSG Hoffenheim,2,2,14065217,https://www.sofascore.com/api/v1/event/14065217/shotmap
1,29,1. FC Heidenheim,1. FC Union Berlin,3,1,14065220,https://www.sofascore.com/api/v1/event/14065220/shotmap
2,29,Borussia Dortmund,Bayer 04 Leverkusen,0,1,14065215,https://www.sofascore.com/api/v1/event/14065215/shotmap
3,29,RB Leipzig,Borussia M'gladbach,1,0,14065212,https://www.sofascore.com/api/v1/event/14065212/shotmap
4,29,VfL Wolfsburg,Eintracht Frankfurt,1,2,14065216,https://www.sofascore.com/api/v1/event/14065216/shotmap
5,29,FC St. Pauli,FC Bayern München,0,5,14065219,https://www.sofascore.com/api/v1/event/14065219/shotmap
6,29,1. FC Köln,SV Werder Bremen,3,1,14065218,https://www.sofascore.com/api/v1/event/14065218/shotmap
7,29,VfB Stuttgart,Hamburger SV,4,0,14065213,https://www.sofascore.com/api/v1/event/14065213/shotmap
8,29,1. FSV Mainz 05,SC Freiburg,0,1,14065214,https://www.sofascore.com/api/v1/event/14065214/shotmap
0,30,FC St. Pauli,1. FC Köln,1,1,14065229,https://www.sofascore.com/api/v1/event/14065229/shotmap
1,30,1. FC Union Berlin,VfL Wolfsburg,1,2,14065225,https://www.sofascore.com/api/v1/event/14065225/shotmap
2,30,Bayer 04 Leverkusen,FC Augsburg,1,2,14065221,https://www.sofascore.com/api/v1/event/14065221/shotmap
3,30,SV Werder Bremen,Hamburger SV,3,1,14065224,https://www.sofascore.com/api/v1/event/14065224/shotmap
4,30,TSG Hoffenheim,Borussia Dortmund,2,1,14065230,https://www.sofascore.com/api/v1/event/14065230/shotmap
5,30,Eintracht Frankfurt,RB Leipzig,1,3,14065223,https://www.sofascore.com/api/v1/event/14065223/shotmap
6,30,SC Freiburg,1. FC Heidenheim,2,1,14065226,https://www.sofascore.com/api/v1/event/14065226/shotmap
7,30,FC Bayern München,VfB Stuttgart,4,2,14065222,https://www.sofascore.com/api/v1/event/14065222/shotmap
8,30,Borussia M'gladbach,1. FSV Mainz 05,1,1,14065227,https://www.sofascore.com/api/v1/event/14065227/shotmap
