,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
8,22,Olympique Lyonnais,Nice,2,0,14064495,https://www.sofascore.com/api/v1/event/14064495/shotmap
0,23,Stade Brestois,Olympique de Marseille,2,0,14167866,https://www.sofascore.com/api/v1/event/14167866/shotmap
1,23,RC Lens,AS Monaco,2,3,14167892,https://www.sofascore.com/api/v1/event/14167892/shotmap
2,23,Toulouse,Paris FC,1,1,14167871,https://www.sofascore.com/api/v1/event/14167871/shotmap
3,23,Paris Saint-Germain,Metz,3,0,14167865,https://www.sofascore.com/api/v1/event/14167865/shotmap
4,23,Auxerre,Stade Rennais,0,3,14167875,https://www.sofascore.com/api/v1/event/14167875/shotmap
5,23,Angers,Lille,0,1,14167873,https://www.sofascore.com/api/v1/event/14167873/shotmap
6,23,Nantes,Le Havre,2,0,14167869,https://www.sofascore.com/api/v1/event/14167869/shotmap
7,23,Nice,Lorient,3,3,14167867,https://www.sofascore.com/api/v1/event/14167867/shotmap
8,23,RC Strasbourg,Olympique Lyonnais,3,1,14064501,https://www.sofascore.com/api/v1/event/14064501/shotmap
0,24,RC Strasbourg,RC Lens,1,1,14167891,https://www.sofascore.com/api/v1/event/14167891/shotmap
1,24,Stade Rennais,Toulouse,1,0,14167879,https://www.sofascore.com/api/v1/event/14167879/shotmap
2,24,AS Monaco,Angers,2,0,14167881,https://www.sofascore.com/api/v1/event/14167881/shotmap
3,24,Le Havre,Paris Saint-Germain,0,1,14167877,https://www.sofascore.com/api/v1/event/14167877/shotmap
4,24,Paris FC,Nice,1,0,14167889,https://www.sofascore.com/api/v1/event/14167889/shotmap
5,24,Lille,Nantes,1,0,14167887,https://www.sofascore.com/api/v1/event/14167887/shotmap
6,24,Lorient,Auxerre,2,2,14167883,https://www.sofascore.com/api/v1/event/14167883/shotmap
7,24,Metz,Stade Brestois,0,1,14167885,https://www.sofascore.com/api/v1/event/14167885/shotmap
8,24,Olympique de Marseille,Olympique Lyonnais,3,2,14167894,https://www.sofascore.com/api/v1/event/14167894/shotmap
0,25,Paris Saint-Germain,AS Monaco,1,3,14167912,https://www.sofascore.com/api/v1/event/14167912/shotmap
1,25,Nantes,Angers,0,1,14167910,https://www.sofascore.com/api/v1/event/14167910/shotmap
2,25,Auxerre,RC Strasbourg,0,0,14167908,https://www.sofascore.com/api/v1/event/14167908/shotmap
3,25,Toulouse,Olympique de Marseille,0,1,14167896,https://www.sofascore.com/api/v1/event/14167896/shotmap
4,25,RC Lens,Metz,3,0,14167904,https://www.sofascore.com/api/v1/event/14167904/shotmap
5,25,Lille,Lorient,1,1,14167906,https://www.sofascore.com/api/v1/event/14167906/shotmap
6,25,Nice,Stade Rennais,0,4,14167900,https://www.sofascore.com/api/v1/event/14167900/shotmap
7,25,Stade Brestois,Le Havre,2,0,14167898,https://www.sofascore.com/api/v1/event/14167898/shotmap
8,25,Olympique Lyonnais,Paris FC,1,1,14167902,https://www.sofascore.com/api/v1/event/14167902/shotmap
0,26,Olympique de Marseille,Auxerre,1,0,14167929,https://www.sofascore.com/api/v1/event/14167929/shotmap
1,26,Lorient,RC Lens,2,1,14167916,https://www.sofascore.com/api/v1/event/14167916/shotmap
2,26,Angers,Nice,0,2,14167926,https://www.sofascore.com/api/v1/event/14167926/shotmap
3,26,AS Monaco,Stade Brestois,2,0,14167928,https://www.sofascore.com/api/v1/event/14167928/shotmap
4,26,RC Strasbourg,Paris FC,0,0,14167920,https://www.sofascore.com/api/v1/event/14167920/shotmap
5,26,Le Havre,Olympique Lyonnais,0,0,14167918,https://www.sofascore.com/api/v1/event/14167918/shotmap
6,26,Metz,Toulouse,3,4,14167922,https://www.sofascore.com/api/v1/event/14167922/shotmap
7,26,Stade Rennais,Lille,1,2,14167924,https://www.sofascore.com/api/v1/event/14167924/shotmap
8,26,Paris Saint-Germain,Nantes,3,0,14167914,https://www.sofascore.com/api/v1/event/14167914/shotmap
0,27,RC Lens,Angers,5,1,14167938,https://www.sofascore.com/api/v1/event/14167938/shotmap
1,27,Toulouse,Lorient,1,0,14167942,https://www.sofascore.com/api/v1/event/14167942/shotmap
2,27,Auxerre,Stade Brestois,3,0,14167932,https://www.sofascore.com/api/v1/event/14167932/shotmap
3,27,Nice,Paris Saint-Germain,0,4,14167944,https://www.sofascore.com/api/v1/event/14167944/shotmap
4,27,Olympique Lyonnais,AS Monaco,1,2,14167930,https://www.sofascore.com/api/v1/event/14167930/shotmap
5,27,Olympique de Marseille,Lille,1,2,14167946,https://www.sofascore.com/api/v1/event/14167946/shotmap
6,27,Paris FC,Le Havre,3,2,14167940,https://www.sofascore.com/api/v1/event/14167940/shotmap
7,27,Stade Rennais,Metz,0,0,14167934,https://www.sofascore.com/api/v1/event/14167934/shotmap
8,27,Nantes,RC Strasbourg,2,3,14167936,https://www.sofascore.com/api/v1/event/14167936/shotmap
0,28,Paris Saint-Germain,Toulouse,3,1,14167955,https://www.sofascore.com/api/v1/event/14167955/shotmap
1,28,RC Strasbourg,Nice,3,1,14167956,https://www.sofascore.com/api/v1/event/14167956/shotmap
2,28,Stade Brestois,Stade Rennais,3,4,14167949,https://www.sofascore.com/api/v1/event/14167949/shotmap
3,28,Lille,RC Lens,3,0,14167954,https://www.sofascore.com/api/v1/event/14167954/shotmap
4,28,Angers,Olympique Lyonnais,0,0,14167950,https://www.sofascore.com/api/v1/event/14167950/shotmap
5,28,Le Havre,Auxerre,1,1,14167952,https://www.sofascore.com/api/v1/event/14167952/shotmap
6,28,Lorient,Paris FC,1,1,14167953,https://www.sofascore.com/api/v1/event/14167953/shotmap
7,28,Metz,Nantes,0,0,14689441,https://www.sofascore.com/api/v1/event/14689441/shotmap
8,28,AS Monaco,Olympique de Marseille,2,1,14167948,https://www.sofascore.com/api/v1/event/14167948/shotmap
0,29,Paris FC,AS Monaco,4,1,14167962,https://www.sofascore.com/api/v1/event/14167962/shotmap
1,29,Olympique de Marseille,Metz,3,1,14167957,https://www.sofascore.com/api/v1/event/14167957/shotmap
2,29,Auxerre,Nantes,0,0,14167964,https://www.sofascore.com/api/v1/event/14167964/shotmap
3,29,Stade Rennais,Angers,2,1,14167959,https://www.sofascore.com/api/v1/event/14167959/shotmap
4,29,Nice,Le Havre,1,1,14167960,https://www.sofascore.com/api/v1/event/14167960/shotmap
5,29,Toulouse,Lille,0,4,14167963,https://www.sofascore.com/api/v1/event/14167963/shotmap
6,29,Olympique Lyonnais,Lorient,2,0,14167958,https://www.sofascore.com/api/v1/event/14167958/shotmap
0,30,RC Lens,Toulouse,3,2,14167969,https://www.sofascore.com/api/v1/event/14167969/shotmap
1,30,Lorient,Olympique de Marseille,2,0,14167966,https://www.sofascore.com/api/v1/event/14167966/shotmap
2,30,Angers,Le Havre,1,1,14167970,https://www.sofascore.com/api/v1/event/14167970/shotmap
3,30,Lille,Nice,0,0,14167973,https://www.sofascore.com/api/v1/event/14167973/shotmap
4,30,AS Monaco,Auxerre,2,2,14167971,https://www.sofascore.com/api/v1/event/14167971/shotmap
5,30,Metz,Paris FC,1,3,14167968,https://www.sofascore.com/api/v1/event/14167968/shotmap
6,30,Nantes,Stade Brestois,1,1,14167972,https://www.sofascore.com/api/v1/event/14167972/shotmap
7,30,RC Strasbourg,Stade Rennais,0,3,14167967,https://www.sofascore.com/api/v1/event/14167967/shotmap
8,30,Paris Saint-Germain,Olympique Lyonnais,1,2,14167974,https://www.sofascore.com/api/v1/event/14167974/shotmap
