season,round,game_index,date,home_team,away_team,home_score,away_score
26,29,6,15/03/2026,Sassuolo,Bologna,0,1
26,29,7,15/03/2026,Como,AS Roma,2,1
26,29,8,15/03/2026,Lazio,AC Milan,1,0
26,29,9,16/03/2026,Cremonese,Fiorentina,1,4
26,30,0,20/03/2026,Cagliari,SSC Napoli,0,1
26,30,1,20/03/2026,Genoa,Udinese,0,2
26,30,2,21/03/2026,Parma,Cremonese,0,2
26,30,3,21/03/2026,AC Milan,Torino,3,2
26,30,4,21/03/2026,Juventus,Sassuolo,1,1
26,30,5,22/03/2026,Como,Pisa,5,0
26,30,6,22/03/2026,Atalanta,Hellas Verona,1,0
26,30,7,22/03/2026,Bologna,Lazio,0,2
26,30,8,22/03/2026,AS Roma,Lecce,1,0
26,30,9,22/03/2026,Fiorentina,Inter,1,1
26,31,0,04/04/2026,Sassuolo,Cagliari,2,1
26,31,1,04/04/2026,Hellas Verona,Fiorentina,0,1
26,31,2,04/04/2026,Lazio,Parma,1,1
26,31,3,05/04/2026,Cremonese,Bologna,1,2
26,31,4,05/04/2026,Pisa,Torino,0,1
26,31,5,05/04/2026,Inter,AS Roma,5,2
26,31,6,06/04/2026,Udinese,Como,0,0
26,31,7,06/04/2026,Lecce,Atalanta,0,3
26,31,8,06/04/2026,Juventus,Genoa,2,0
26,31,9,06/04/2026,SSC Napoli,AC Milan,1,0
26,32,0,10/04/2026,AS Roma,Pisa,3,0
26,32,1,11/04/2026,Cagliari,Cremonese,1,0
26,32,2,11/04/2026,Torino,Hellas Verona,2,1
26,32,3,11/04/2026,AC Milan,Udinese,0,3
26,32,4,11/04/2026,Atalanta,Juventus,0,1
26,32,5,12/04/2026,Genoa,Sassuolo,2,1
26,32,6,12/04/2026,Parma,SSC Napoli,1,1
26,32,7,12/04/2026,Bologna,Lecce,2,0
26,32,8,12/04/2026,Como,Inter,3,4
26,32,9,13/04/2026,Fiorentina,Lazio,1,0
26,33,0,17/04/2026,Sassuolo,Como,2,1
26,33,1,17/04/2026,Inter,Cagliari,3,0
26,33,2,18/04/2026,Udinese,Parma,0,1
26,33,3,18/04/2026,SSC Napoli,Lazio,0,2
26,33,4,18/04/2026,AS Roma,Atalanta,1,1
26,33,5,19/04/2026,Cremonese,Torino,0,0
26,33,6,19/04/2026,Hellas Verona,AC Milan,0,1
26,33,7,19/04/2026,Pisa,Genoa,1,2
26,33,8,19/04/2026,Juventus,Bologna,2,0
26,33,9,20/04/2026,Lecce,Fiorentina,1,1
26,34,0,24/04/2026,SSC Napoli,Cremonese,4,0
26,34,1,25/04/2026,Parma,Pisa,1,0
26,34,2,25/04/2026,Bologna,AS Roma,0,2
26,34,3,25/04/2026,Hellas Verona,Lecce,0,0
26,34,4,26/04/2026,Fiorentina,Sassuolo,0,0
26,34,5,26/04/2026,Genoa,Como,0,2
26,34,6,26/04/2026,Torino,Inter,2,2
26,34,7,26/04/2026,AC Milan,Juventus,0,0
26,34,8,27/04/2026,Cagliari,Atalanta,3,2
26,34,9,27/04/2026,Lazio,Udinese,3,3
26,35,0,01/05/2026,Pisa,Lecce,1,2
26,35,1,02/05/2026,Udinese,Torino,2,0
26,35,2,02/05/2026,Como,SSC Napoli,0,0
26,35,3,02/05/2026,Atalanta,Genoa,0,0
26,35,4,03/05/2026,Bologna,Cagliari,0,0
26,35,5,03/05/2026,Sassuolo,AC Milan,2,0
26,35,6,03/05/2026,Juventus,Hellas Verona,1,1
26,35,7,03/05/2026,Inter,Parma,2,0
26,35,8,04/05/2026,Cremonese,Lazio,1,2
26,35,9,04/05/2026,AS Roma,Fiorentina,4,0
26,36,0,08/05/2026,Torino,Sassuolo,2,1
26,36,1,09/05/2026,Cagliari,Udinese,0,2
26,36,2,09/05/2026,Lazio,Inter,0,3
26,36,3,09/05/2026,Lecce,Juventus,0,1
26,36,4,10/05/2026,Hellas Verona,Como,0,1
26,36,5,10/05/2026,Cremonese,Pisa,3,0
26,36,6,10/05/2026,Fiorentina,Genoa,0,0
26,36,7,10/05/2026,Parma,AS Roma,2,3
26,36,8,10/05/2026,AC Milan,Atalanta,2,3
26,36,9,11/05/2026,SSC Napoli,Bologna,2,3
26,37,0,17/05/2026,AS Roma,Lazio,2,0
26,37,1,17/05/2026,Como,Parma,1,0
26,37,2,17/05/2026,Genoa,AC Milan,1,2
26,37,3,17/05/2026,Juventus,Fiorentina,0,2
26,37,4,17/05/2026,Pisa,SSC Napoli,0,3
26,37,5,17/05/2026,Inter,Hellas Verona,1,1
26,37,6,17/05/2026,Atalanta,Bologna,0,1
26,37,7,17/05/2026,Cagliari,Torino,2,1
26,37,8,17/05/2026,Sassuolo,Lecce,2,3
26,37,9,17/05/2026,Udinese,Cremonese,0,1
26,38,0,22/05/2026,Fiorentina,Atalanta,1,1
26,38,1,23/05/2026,Bologna,Inter,3,3
26,38,2,23/05/2026,Lazio,Pisa,2,1
26,38,3,24/05/2026,Parma,Sassuolo,1,0
26,38,4,24/05/2026,SSC Napoli,Udinese,1,0
