player,playerID
Dani Gómez,243315
Christantus Uche,73374
Nico Serrano,259422
Eray Cömert,233885
Flavien Boyomo,259066
Jesús Rodriguez,75055
Raphinha,233419
Randal Kolo Muani,237679
Devyne Rensch,258826
Danilo Soares,216283
Matondo-Merveille Papela,253475
Jae-sung Lee,221671
Giovanni Reyna,245541
Thomas Meunier,202371
Joseph Scally,243133
Jamie Gittens,266032
Tuta,247182
Borna Sosa,243388
Rafael Borré,220883
Manu Koné,250723
Denis Huseinbašić,269922
Timo Hübers,234727
Dejan Ljubičić,240916
Maximilian Wöber,231838
Diogo Leite,234575
Aurélio Buta,234573
Samuel Bamba,264543
Timothy Chandler,202316
Victor Okoh Boniface,247679
Nacho Ferri,271979
Max Finkgrafe,277887
Mateu Morey,248820
Chukwubuike Adamu,257877
Gonçalo Paciência
Tomáš Čvančara,246919
Raphaël Guerreiro,209889
Haktab Omar Traore,257136
Shio Fukuda,70149
Frans Krätzig,277668
Iago Borduchi,251182
Thomas Müller,189596
Nathan N'Goumou,250724
Frank Ronstadt,230047
Morato,256008
Omar Marmoush,256675
Lloyd Kelly,231512
Santiago Giménez,245152
Antoine Bernede,234795
Florinel Coman,238274
Lucas Gourna-Douath,257271
Daniel Fila,267593
Stefan Savić,204639
Samuel Aghehowa,277581
Marcos Peña,278814
Peio Canales,75263
Tomás Conechny,236507
Raúl Moro,258139
Selvi Clúa,278126
Thiago Ojeda,270738
Sadio Mané,208722
Marlon Mustapha,257080
Marco Pašalić,262740
Keke Topp,265749
Stanley N'Soki,241941
Vasilis Lampropoulos,239841
Malick Thiaw,256261
Jordan Larsson,224389
Andreas Ivan,244742
Naouirou Ahamada,259205
Luca Pellegrini,243237
Angelo Fulgini,226789
Paulinho,239970
Shio Fukuda,70149
Mehmet Aydın,261446
Gil Dias,229453
Robin Gosens,223697
Leo Scienza,269964
Andu Yobel Kelati,73149
Oladapo Afolayan,242946
Dimitrios Giannoulis,236457
Mohamed El Amine Amoura,264697
Donyell Malen,231447
Leo Østigård,238516
Kevin Stöger,204497
Arthur Chaves,74871
Maximilian Rosenfelder,263022
Arne Engels,272874
Hyun-Seok Hong,244108
Giorgos Masouras,246708
Aleksandar Pavlović,275298
Nemanja Matić,191202
Rassoul Ndiaye,251926
Emanuel Emegha,258437
Cheick Konaté,274463
Loic Négo,188537
Abdoul Kader Bamba,246790
Hianga'a M'Bock,251974
Abakar Sylla,269003
Muhammed Cham-Saračević,253108
Joel Mugisha Mvuka,264010
Danilo Pereira,200888
Aïman Maurer,274068
Fali Candé,256856
Milan Škriniar,232363
Jean-Ricner Bellegarde,235456
Mamadou Coulibaly,279700
Malick Mbaye,275288
Yusuf Yazıcı,231887
Diego Moreira,270039
Josh Wilson-Esbrand,264681
Aboubacar Ali Abdallah,71363
Shavy Warren Babicka,70106
Andy Logbo,271257
Georges Mikautadze,254551
Kévin N'Doram,229011
Clinton Mata,208364
Jeremy Sebas,279016
Maxime Estève,262042
Keito Nakamura,242914
Daler Kuzyaev,223058
Gonçalo Ramos,256903
Lucas Hernández,220814
Ousmane Dembélé,231443
Othmane Maamma,279078
Faitout Maouassa,230043
David Pereira da Costa,259139
Mousa Al-Taamari,259191
Amadou Kone,278902
Ismaël Traoré,184873
Pape Diallo,275372
Pierre Lees Melou,230020
Dion Moise Sahi,261771
Manuel Ugarte,253306
Josué Casimir,260943
Theo Sainte Luce,241157
Abdoulaye Touré,210450
Mama Baldé,237960
Cheick Tidiane Sabaly,244694
François Régis Mughe,276235
Ronaël Pierre-Gabriel,231685
Issa Soumaré,253121
Oussama Targhalline,263603
Neto Borges,242181
Akor Adams,266256
Michael Murillo,237841
