id,foot
227864,LeftFoot
807301,RightFoot
796987,RightFoot
43476,BothFeet
69295,RightFoot
556960,LeftFoot
79403,LeftFoot
812207,RightFoot
862372,RightFoot
187111,LeftFoot
850035,RightFoot
28186,RightFoot
331405,LeftFoot
803031,RightFoot
131716,LeftFoot
893998,LeftFoot
31273,RightFoot
126982,RightFoot
311396,LeftFoot
142860,RightFoot
385386,LeftFoot
30127,RightFoot
301164,RightFoot
942992,RightFoot
836683,RightFoot
754794,RightFoot
149732,RightFoot
5712,RightFoot
310874,LeftFoot
587882,BothFeet
1002902,RightFoot
353250,RightFoot
893643,RightFoot
27234,RightFoot
11654,RightFoot
965778,LeftFoot
822468,RightFoot
18841,LeftFoot
1010062,RightFoot
787959,RightFoot
186953,RightFoot
149735,RightFoot
17814,RightFoot
308182,RightFoot
98075,RightFoot
22447,RightFoot
1019953,RightFoot
26097,LeftFoot
32493,RightFoot
1022084,RightFoot
148191,RightFoot
24818,RightFoot
48077,LeftFoot
888537,LeftFoot
137775,RightFoot
96649,RightFoot
788895,RightFoot
876236,RightFoot
335823,LeftFoot
115666,RightFoot
168647,RightFoot
862475,LeftFoot
13592,LeftFoot
826186,LeftFoot
841399,RightFoot
46972,RightFoot
